Rezolutie,Framework,Time,Threads
16380,./serial.o,84.460605,1
16380,./openmp.o,45.726218,2
16380,./pthread.o,42.461815,2
16380,./mpi.o,41.927052,2
16380,./openmp.o,32.977551,3
16380,./pthread.o,28.858924,3
16380,./mpi.o,28.591510,3
16380,./openmp.o,24.099802,4
16380,./pthread.o,27.824142,4
16380,./mpi.o,29.405322,4
16380,./openmp.o,26.590879,5
16380,./pthread.o,23.933881,5
16380,./mpi.o,27.718261,5
16380,./openmp.o,27.885681,6
16380,./pthread.o,23.657268,6
16380,./mpi.o,27.116980,6
16380,./openmp.o,25.418904,7
16380,./pthread.o,30.745196,7
16380,./mpi.o,23.751117,7
16380,./openmp.o,23.865129,8
16380,./pthread.o,23.176284,8
16380,./mpi.o,30.732159,8
16380,./openmp.o,25.098517,9
16380,./pthread.o,26.405050,9
16380,./mpi.o,26.535200,9
16380,./openmp.o,27.888261,10
16380,./pthread.o,22.210138,10
16380,./mpi.o,24.054771,10
16380,./openmp.o,27.447792,11
16380,./pthread.o,27.950154,11
16380,./mpi.o,25.866477,11
16380,./openmp.o,23.658901,12
16380,./pthread.o,22.300903,12
16380,./mpi.o,24.817647,12
